Serial_Id,name,price,year,Odometer_Reading,fuel,transmission,Mileage,Engine_No,Horse_Power,Seats
48,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),3,2011,"93,000.00",Diesel,Manual,20.5,1248,91.7,5
49,Ambassador Avigo 1800 ISZ MPFI AC,2.25,2010,"86,000.00",Petrol,Manual,12.2,1817,75,5
50,Maruti Baleno Zeta Automatic,5.9,2016,"52,427.00",Petrol,Automatic,21.4,1197,83.1,5
51,Mahindra Bolero B6,8.5,2020,"40,000.00",Diesel,Manual,21,1498,74.96,7
52,Tata Nano Cx BSIV,1.08,2011,"70,000.00",Petrol,Manual,26,624,35,4
53,Mahindra KUV100 NXT G80 K8 5Str BSIV,5.5,2018,"17,000.00",Petrol,Manual,18.15,1198,82,5
54,Toyota Etios G,3.25,2012,"54,325.00",Petrol,Manual,17.6,1496,88.73,5
55,Maruti Baleno Vxi - BSIII,6.25,2016,"22,000.00",Petrol,Manual,15.4,1590,94,5
56,Maruti Swift Dzire ZXI,6,2016,"54,000.00",Petrol,Manual,20.85,1197,83.14,5
57,Maruti Wagon R LXI Optional,4.45,2019,"10,000.00",Petrol,Manual,20.51,998,67.04,5
58,Maruti Ignis 1.2 Delta BSIV,5.3,2019,"20,000.00",Petrol,Manual,20.89,1197,81.8,5
59,Toyota Corolla Altis GL,3.85,2011,"61,000.00",Petrol,Manual,14.53,1798,138.1,5
60,Maruti Wagon R LXI CNG,4.1,2018,"53,237.00",CNG,Manual,26.6,998,58.16,5
61,Datsun RediGO Gold 1.0,3.5,2018,"27,263.00",Petrol,Manual,22.5,999,68,5
62,Tata Indigo eLX BS IV,2.65,2014,"90,000.00",Diesel,Manual,25,1396,69.01,5
63,Hyundai i20 Asta Option 1.4 CRDi,7.5,2016,"70,000.00",Diesel,Manual,22.54,1396,88.73,5
64,Maruti Swift Dzire VDI,5.6,2017,"70,000.00",Diesel,Manual,26.59,1248,74,5
65,Hyundai Xcent 1.2 CRDi SX,6,2017,"40,000.00",Diesel,Manual,25.4,1186,73.97,5
66,Hyundai i20 1.2 Spotz,6.55,2019,"39,000.00",Petrol,Manual,18.6,1197,81.83,5
67,Hyundai Santro Xing XE,1.25,2007,"56,000.00",Petrol,Manual,17.8,1086,63,5
68,Toyota Corolla Altis 1.8 VL AT,4.25,2009,"58,000.00",Petrol,Automatic,14.53,1794,138.1,5
69,Maruti Omni E MPI STD BS IV,2.2,2017,"40,000.00",Petrol,Manual,16.8,796,34.2,8
70,Hyundai i20 1.2 Spotz,5.5,2018,"34,000.00",Petrol,Manual,18.6,1197,81.83,5
71,Mahindra Scorpio 1.99 S10,11.5,2017,"50,000.00",Diesel,Manual,15.4,1997,120,7
72,Volkswagen Vento Diesel Highline,5,2012,"77,400.00",Diesel,Manual,20.54,1598,103.6,5
73,Mahindra Marazzo M2 BSIV,9.9,2019,"36,000.00",Diesel,Manual,17.3,1497,121,7
74,Hyundai Verna SX Opt Diesel,5.51,2013,"47,876.00",Diesel,Manual,25,1493,113.42,5
75,Mahindra XUV500 W11 Option AT BSIV,16.5,2018,"21,500.00",Diesel,Automatic,15.1,2179,152.87,7
76,Hyundai Grand i10 CRDi Magna,3.5,2015,"75,000.00",Diesel,Manual,24,1120,70,5
77,Ford Aspire 1.2 Ti-VCT Titanium,5,2017,"58,000.00",Petrol,Manual,18.16,1196,86.8,5
78,Maruti Swift Dzire VXI 1.2,5.75,2018,"30,000.00",Petrol,Manual,21.21,1197,81.8,5
79,Hyundai Grand i10 1.2 CRDi Asta,5.45,2018,"50,000.00",Diesel,Manual,24,1186,73.97,5
80,Ford Figo 1.2P Titanium MT,5.25,2017,"19,093.00",Petrol,Manual,18.16,1196,86.8,5
81,Honda Amaze E i-Vtech,4,2014,"50,000.00",Petrol,Manual,18,1198,86.7,5
82,Maruti Wagon R LXI BSIII,1.55,2006,"37,000.00",Petrol,Manual,14,1061,64,5
83,Mahindra Supro VX 8 Str,5.4,2019,"3,888.00",Diesel,Manual,23.5,909,45,8
84,Maruti Swift Dzire VDI,5.45,2016,"47,000.00",Diesel,Manual,26.59,1248,74,5
85,Honda City V MT,5.45,2013,"70,000.00",Petrol,Manual,16.8,1497,116.3,5
86,Renault KWID RXL,2.4,2016,"25,000.00",Petrol,Manual,25.17,799,53.3,5
87,Maruti Vitara Brezza LDi Option,7.25,2018,"26,000.00",Diesel,Manual,24.3,1248,88.5,5
88,Ford Aspire 1.2 Ti-VCT Titanium Opt,4.8,2017,"30,000.00",Petrol,Manual,18.16,1196,86.8,5
89,Hyundai i20 Magna Optional 1.2,3.75,2013,"15,000.00",Petrol,Manual,18.5,1197,82.9,5
90,Maruti Swift VDi BSIII W/ ABS,2.25,2011,160000,Diesel,Manual,17.8,1248,75,5
91,Tata Tiago 1.2 Revotron XZ,4,2017,"32,100.00",Petrol,Manual,23.84,1199,84,5
92,Hyundai i20 Magna Optional 1.2,5.5,2016,"22,000.00",Petrol,Manual,18.5,1197,82.9,5
93,Mahindra Scorpio S10 7 Seater,10.5,2016,"44,000.00",Diesel,Manual,15.4,2179,120,7
94,Volkswagen Polo 1.2 MPI Trendline,4.5,2016,"78,000.00",Petrol,Manual,18.78,1198,74,5
95,Mercedes-Benz C-Class C 200 CGI Elegance,7.75,2012,"74,352.00",Petrol,Automatic,11.74,1796,186,5
96,Maruti Wagon R VXI,3.5,2014,"37,000.00",Petrol,Manual,20.51,998,67.04,5
97,Honda City i DTEC VX Option,5.5,2014,"69,000.00",Diesel,Manual,25.1,1498,98.6,5
98,Kia Seltos HTK Plus G,10.8,2019,"12,120.00",Petrol,Manual,16.8,1497,113.4,5
99,Maruti Baleno Delta,5.75,2016,"52,000.00",Petrol,Manual,21.01,1197,81.8,5
100,Toyota Innova 2.5 G (Diesel) 8 Seater,9.5,2016,120000,Diesel,Manual,12.99,2494,100.6,8
101,Maruti Alto 800 LXI,2.3,2013,"55,000.00",Petrol,Manual,22.74,796,47.3,5
102,Hyundai i20 1.4 CRDi Magna,2.7,2011,160000,Diesel,Manual,21.9,1396,90,5
103,Chevrolet Beat Diesel LS,1.65,2012,"42,000.00",Diesel,Manual,25.44,936,56.3,5
104,Ford Figo Petrol EXI,1.3,2011,"40,000.00",Petrol,Manual,15.6,1196,70,5
105,Maruti Swift Dzire VXI,3.7,2012,"46,000.00",Petrol,Manual,19.1,1197,85.8,5
106,Maruti Baleno Delta 1.2,5.7,2017,"25,000.00",Petrol,Manual,21.4,1197,83.1,5
107,Toyota Etios GD,3.9,2015,240000,Diesel,Manual,23.59,1364,67.05,5
108,Volkswagen Polo Diesel Comfortline 1.2L,3.65,2013,"90,000.00",Diesel,Manual,22.07,1199,73.9,5
109,Hyundai i20 Magna,2.8,2012,"49,566.00",Petrol,Manual,18.5,1197,82.85,5
110,Hyundai Verna CRDi 1.6 AT SX Option,12.5,2018,"14,000.00",Diesel,Automatic,22,1582,126.2,5
111,Hyundai i20 2015-2017 Sportz 1.2,5.9,2016,"11,000.00",Petrol,Manual,18.6,1197,81.83,5
112,Maruti Celerio VXI AMT BSIV,4.75,2018,"5,000.00",Petrol,Automatic,23.1,998,67.04,5
113,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,6.85,2017,"55,000.00",Diesel,Manual,23,1498,98.96,5
114,Hyundai Verna SX CRDi AT,3.8,2012,"65,000.00",Diesel,Automatic,19.08,1582,126.32,5
115,Renault KWID 1.0 RXT Optional,3.3,2018,"22,000.00",Petrol,Manual,23.01,999,67,5
116,Maruti Baleno Delta,6.5,2018,"7,671.00",Petrol,Manual,21.01,1197,81.8,5
117,Maruti Wagon R LXI,3.25,2016,"66,000.00",Petrol,Manual,20.51,998,67.04,5
118,Maruti Swift Dzire AMT VXI,6.4,2018,"45,156.00",Petrol,Automatic,21.21,1197,81.8,5
119,Hyundai Venue SX Opt Turbo BSIV,9.49,2019,"25,000.00",Petrol,Manual,18.27,998,118.35,5
120,Nissan Terrano XL Plus 85 PS,7.5,2015,"70,000.00",Diesel,Manual,20.45,1461,83.8,5
121,Hyundai Verna 1.6 CRDi SX,6.6,2015,120000,Diesel,Manual,23.9,1582,126.2,5
122,Maruti Swift VXi BSIV,4.35,2014,"28,000.00",Petrol,Manual,16.1,1197,85,5
123,Hyundai i20 Sportz 1.4 CRDi,3.85,2013,"55,000.00",Diesel,Manual,21.9,1396,88.76,5
124,Hyundai Santa Fe 4X2,10,2011,104000,Diesel,Manual,14.66,2199,194.3,7
125,Hyundai Verna CRDi 1.6 AT SX Option,12.5,2019,"14,000.00",Diesel,Automatic,22,1582,126.2,5
126,Hyundai Xcent 1.2 VTVT SX,5.5,2017,"18,000.00",Petrol,Manual,20.14,1197,81.86,5
127,Maruti Wagon R LX BS IV,1.55,2009,"98,780.00",Petrol,Manual,18.9,998,67.1,5
128,Maruti Swift VDI BSIV,4.15,2015,"58,000.00",Diesel,Manual,25.2,1248,74,5
129,Maruti Alto K10 2010-2014 VXI,2.51,2011,"30,000.00",Petrol,Manual,20.92,998,67.1,5
130,Mahindra Scorpio S10 7 Seater,11.5,2016,"46,400.00",Diesel,Manual,15.4,2179,120,7
131,Hyundai i10 Magna 1.1L,3.1,2014,"32,111.00",Petrol,Manual,19.81,1086,68.05,5
132,Datsun GO Plus T BSIV,3.5,2015,"35,000.00",Petrol,Manual,19.44,1198,67,7
133,Mahindra Scorpio 1.99 S6 Plus,11.25,2017,"30,000.00",Diesel,Manual,15.4,1997,120,7
134,BMW 5 Series 530d M Sport,26,2016,"63,000.00",Diesel,Automatic,18.59,2993,261.49,5
135,Chevrolet Beat LT,2,2017,"43,890.00",Petrol,Manual,17.8,1199,76.8,5
136,Datsun GO Plus Anniversary Edition,4.8,2018,"10,000.00",Petrol,Manual,20.62,1198,67,7
137,Maruti Swift Dzire AMT ZDI Plus,8.5,2017,"25,000.00",Diesel,Automatic,28.4,1248,74.02,5
138,Hyundai Creta 1.6 CRDi AT SX Plus,11,2017,102000,Diesel,Automatic,17.01,1582,126.2,5
139,Maruti Swift VXI 2018,5.75,2018,"35,000.00",Petrol,Manual,22,1197,81.8,5
140,Hyundai Santro LP,1.6,2007,"54,000.00",Petrol,Manual,0,999,null ,5
141,Maruti Swift Dzire VXi,3.4,2012,"49,948.00",Petrol,Manual,17.5,1298,85.8,5
142,Tata Indigo eLX BS IV,5.59,2018,114851,Diesel,Manual,25,1396,69.01,5
143,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,9.25,2018,"55,000.00",Diesel,Manual,23,1498,98.96,5
144,Hyundai Grand i10 Magna,4,2015,"36,000.00",Petrol,Manual,18.9,1197,82,5
145,Hyundai Xcent 1.2 CRDi S,5.6,2019,"35,000.00",Diesel,Manual,25.4,1186,73.97,5
146,Honda City i VTEC VX Option,7.25,2016,"49,625.00",Petrol,Manual,17.8,1497,117.3,5
147,Maruti Swift Dzire ZDI,6,2014,"35,000.00",Diesel,Manual,23.4,1248,74,5
148,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,5.5,2013,"95,000.00",Diesel,Manual,12.05,2179,120,8
149,Ford Aspire 1.5 TDCi Titanium,5.85,2017,"36,000.00",Diesel,Manual,25.83,1498,99,5
150,Maruti Wagon R VXI,4.11,2019,"50,000.00",Petrol,Manual,21.79,998,67.05,5
151,Maruti Swift Dzire VXI,4.5,2015,"26,500.00",Petrol,Manual,20.85,1197,83.14,5
152,Honda CR-V 2.0L 2WD AT,12.9,2015,"80,000.00",Petrol,Automatic,13.7,1997,153.86,5
153,Volkswagen Polo 1.2 MPI Highline,4.55,2015,"46,000.00",Petrol,Manual,16.47,1198,74,5
154,Hyundai Grand i10 Nios Asta,7.1,2019,"9,000.00",Petrol,Manual,20.7,1197,81.86,5
155,Mahindra TUV 300 T4,4.5,2016,"70,000.00",Diesel,Manual,18.49,1493,100,7
156,Toyota Etios Liva 1.2 VX,4.65,2015,"33,000.00",Petrol,Manual,17.71,1197,78.9,5
157,Honda City V MT,7.7,2016,"53,000.00",Petrol,Manual,16.8,1497,116.3,5
158,Tata Indigo LS (TDI) BS-III,3.2,2015,"50,000.00",Diesel,Manual,19.09,1405,69.01,5
159,Tata Indigo LX (TDI) BS-III,3.25,2015,"50,000.00",Diesel,Manual,19.09,1405,69.01,5
160,Ford Endeavour 3.2 Titanium AT 4X4,29,2018,"11,387.00",Diesel,Automatic,10.91,3198,197,7
161,Honda Amaze VX i-DTEC,7.2,2018,"50,000.00",Diesel,Manual,25.8,1498,98.6,5
162,Mahindra KUV 100 mFALCON D75 K6 5str,3.75,2016,"52,000.00",Diesel,Manual,25.32,1198,77,5
163,Chevrolet Aveo 1.4 LT ABS BSIV,1.45,2010,"60,000.00",Petrol,Manual,14.49,1399,92.7,5
164,Datsun GO Plus T BSIV,4,2015,"35,000.00",Petrol,Manual,19.44,1198,67,7
165,Renault Duster 85PS Diesel RxL Plus,6,2015,"48,000.00",Diesel,Manual,19.87,1461,83.8,5
166,Honda Jazz 1.2 V i VTEC,6,2018,"18,000.00",Petrol,Manual,18.7,1199,88.7,5
167,Maruti Wagon R LXI DUO,2.7,2012,"57,413.00",LPG,Manual,14.4,998,61.7,5
168,Hyundai i20 Magna 1.2,5,2015,"30,000.00",Petrol,Manual,18.6,1197,81.83,5
169,Hyundai Verna 1.6 CRDi SX,6.5,2015,"55,000.00",Diesel,Manual,23.9,1582,126.2,5
170,Chevrolet Sail 1.2 LS ABS,3.8,2015,120000,Petrol,Manual,18.2,1199,82.4,5
171,Mitsubishi Pajero Sport 4X4,7.28,2012,165000,Diesel,Manual,13.5,2477,175.56,7
172,Maruti Swift AMT ZXI,6.6,2018,"10,000.00",Petrol,Automatic,21.21,1197,81.8,5
173,Tata Indica Vista Aura 1.3 Quadrajet,1.8,2010,120000,Diesel,Manual,18,1248,75,5
174,BMW 3 Series 320d Luxury Line,20.9,2016,"68,000.00",Diesel,Automatic,22.69,1995,190,5
175,Chevrolet Beat Diesel LS,2.5,2015,"55,000.00",Diesel,Manual,25.44,936,56.3,5
176,Kia Seltos HTK Plus G,12.75,2020,"8,000.00",Petrol,Manual,16.8,1497,113.4,5
177,Toyota Corolla Altis G,4.55,2012,"80,000.00",Petrol,Manual,14.53,1798,138.1,5
178,Maruti Swift VDI,4.95,2015,"65,000.00",Diesel,Manual,28.4,1248,74,5
179,Maruti Ritz VXI,2.2,2010,"47,000.00",Petrol,Manual,21.1,1197,85.8,5
180,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,8,2018,185000,Diesel,Manual,25.1,1248,88.5,5
181,Hyundai Santa Fe 2WD AT,12.95,2014,"68,000.00",Diesel,Automatic,13.01,2199,194.3,7
182,Hyundai Grand i10 Sportz,4.75,2016,"25,000.00",Petrol,Manual,18.9,1197,82,5
183,Tata Sumo Gold EX,3.8,2014,280000,Diesel,Manual,15.3,2956,83.83,7
184,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,9,2018,"7,791.00",Diesel,Manual,25.1,1248,88.5,5
185,Maruti Ciaz VXi Plus,5.3,2015,"70,000.00",Petrol,Manual,20.73,1373,91.1,5
186,Tata Tiago 1.2 Revotron XZ,5.3,2016,"9,500.00",Petrol,Manual,23.84,1199,84,5
187,Hyundai Verna 1.6 VTVT S,6.5,2015,"9,100.00",Petrol,Manual,17.01,1591,121.3,5
188,Honda New Aord 2008-2011 2.4 MT,4.95,2010,"82,000.00",Petrol,Manual,12.8,2354,177.6,5
189,Honda City 1.5 S MT,3.35,2010,"86,000.00",Petrol,Manual,17,1497,118,5
190,Audi Q5 40 TDI Technology,46.75,2020,"19,000.00",Diesel,Automatic,17.01,1968,188,5
191,Audi A4 2.0 TDI,12.9,2013,"78,000.00",Diesel,Automatic,16.55,1968,147.51,5
192,Ford Figo Diesel Titanium,3,2011,"60,000.00",Diesel,Manual,20,1399,68,5
193,Maruti Wagon R ZXI AMT 1.2BSIV,5.5,2019,"7,883.00",Petrol,Automatic,21.5,1197,81.8,5
194,Maruti Swift Dzire LDI,3.9,2013,"50,205.00",Diesel,Manual,23.4,1248,74,5
195,Mahindra Bolero DI AC BSIII,2.6,2008,220000,Diesel,Manual,13.6,2523,63,7
196,Tata Tigor 1.05 Revotorq XT,3.95,2017,"58,000.00",Diesel,Manual,24.7,1047,69,5
197,Mahindra Scorpio SLE BSIII,5.5,2012,170000,Diesel,Manual,12.05,2179,120,8
198,Maruti Swift Dzire VXI 1.2 BS IV,6.5,2018,"15,000.00",Petrol,Manual,22,1197,81.8,5
199,Maruti Swift DDiS LDI,3.75,2016,"71,245.00",Diesel,Manual,28.4,1248,74,5
200,Tata Manza ELAN Quadrajet BS IV,3,2012,"20,000.00",Diesel,Manual,21.12,1248,88.8,5
201,Toyota Etios VX,4.5,2016,"52,000.00",Petrol,Manual,16.78,1496,88.73,5
202,Honda Brio S MT,3.35,2015,"61,000.00",Petrol,Manual,19.4,1198,86.8,5
203,Kia Seltos GTK,13,2019,"7,000.00",Petrol,Manual,16.1,1353,138,5
204,Maruti Alto K10 VXI,3.6,2018,"20,000.00",Petrol,Manual,23.95,998,67.05,5
205,Maruti Celerio ZXI,5.05,2020,"8,700.00",Petrol,Manual,21.63,998,67.04,5
206,Maruti Alto 800 LXI,3.1,2019,"25,000.00",Petrol,Manual,24.7,796,47.3,5
207,Hyundai i20 Asta Option BSIV,5.45,2015,"42,000.00",Petrol,Manual,18.6,1197,81.86,5
208,Mahindra Xylo E4,3,2009,120000,Diesel,Manual,14,2498,112,7
209,Chevrolet Aveo 1.4 LS Limited Edition,2,2009,"60,000.00",Petrol,Manual,14.4,1399,94,5
210,Mahindra Bolero DI,1.5,2006,120000,Diesel,Manual,13.6,2523,63,7
211,Maruti Baleno Delta 1.2,5.8,2018,"50,000.00",Petrol,Manual,21.4,1197,83.1,5
212,Maruti Wagon R VXI BS IV,2.5,2011,"58,000.00",Petrol,Manual,18.9,998,67.1,5
213,Hyundai Verna 1.4 VTVT,6.5,2017,"36,000.00",Petrol,Manual,17.43,1396,105.5,5
214,Maruti SX4 S Cross DDiS 200 Zeta,8,2016,"80,000.00",Diesel,Manual,23.65,1248,88.5,5
215,Audi Q3 2.0 TDI Quattro Premium Plus,14.75,2013,"71,000.00",Diesel,Automatic,15.73,1968,174.33,5
216,Maruti Ertiga VDI,4.1,2018,"30,000.00",Diesel,Manual,25.47,1248,88.5,7
217,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.31,2015,162828,Diesel,Manual,22.77,1498,98.59,5
218,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,8.9,2018,"7,500.00",Diesel,Manual,23,1498,98.96,5
219,Tata Safari Storme EX,7.75,2016,"47,227.00",Diesel,Manual,14,2179,138.1,7
220,Maruti Wagon R CNG LXI BSIV,4.35,2018,"52,000.00",CNG,Manual,33.54,998,67.04,5
221,Ford Figo Diesel ZXI,1.85,2012,"74,000.00",Diesel,Manual,20,1399,68.05,5
222,Mahindra Bolero 2011-2019 SLX,4.4,2011,"47,000.00",Diesel,Manual,15.96,2523,62.1,7
223,Hyundai i20 Sportz 1.2,4.5,2015,"50,000.00",Petrol,Manual,18.6,1197,81.83,5
224,Maruti Baleno Zeta 1.2,6,2017,100000,Petrol,Manual,21.4,1197,83.1,5
225,Maruti Celerio VXI,3.2,2014,"35,000.00",Petrol,Manual,23.1,998,67.04,5
226,Hyundai i20 Active 1.4 SX,7,2016,"50,000.00",Diesel,Manual,21.19,1396,88.73,5
227,Ford Aspire 1.2 Ti-VCT Titanium,6.3,2018,"10,000.00",Petrol,Manual,18.16,1196,86.8,5
228,Maruti Alto 800 VXI Airbag,3.2,2016,"10,370.00",Petrol,Manual,22.74,796,47.3,5
229,Honda City V MT,4.65,2013,"62,000.00",Petrol,Manual,16.8,1497,116.3,5
230,Tata Manza Aura Quadrajet BS IV,2.75,2011,"70,000.00",Diesel,Manual,21.12,1248,88.8,5
231,Nissan Sunny Diesel XL,3.7,2013,250000,Diesel,Manual,21.64,1461,84.8,5
232,Hyundai i20 Sportz 1.2,5.5,2016,"40,000.00",Petrol,Manual,18.6,1197,81.83,5
233,Maruti Swift VVT VXI,4.45,2017,"60,000.00",Petrol,Manual,22,1197,81.8,5
234,Tata Safari Storme VX,7.05,2013,"67,231.00",Diesel,Manual,14,2179,138.1,7
235,Maruti Wagon R CNG LXI BSIV,2.7,2013,"64,000.00",CNG,Manual,33.54,998,67.04,5
236,Nissan Micra Diesel XV,4.2,2012,142587,Diesel,Manual,23.08,1461,63.1,5
237,Honda City i DTec SV,4.75,2014,"63,000.00",Diesel,Manual,26,1498,98.6,5
238,Toyota Fortuner 4x4 MT,17.55,2015,"80,000.00",Diesel,Manual,12.55,2982,168.5,7
239,Honda City 2017-2020 VTEC,3.5,2011,"55,000.00",Petrol,Manual,16.9,1497,100,5
240,Hyundai i20 2015-2017 Sportz Option 1.2,5.75,2016,"11,000.00",Petrol,Manual,18.6,1197,81.83,5
241,Toyota Etios Liva GD,4.66,2016,"66,000.00",Diesel,Manual,23.59,1364,67.06,5
242,Renault KWID 1.0 RXT Optional,3.6,2017,"17,000.00",Petrol,Manual,23.01,999,67,5
243,Maruti Alto 800 VXI Optional,2.75,2017,"25,000.00",Petrol,Manual,24.7,796,47.3,5
244,Datsun GO Plus D,3.2,2016,"33,350.00",Petrol,Manual,19.44,1198,67,7
245,Maruti Omni 5 Str STD,0.95,2000,"45,000.00",Petrol,Manual,14,796,35,5
246,Hyundai Grand i10 Magna,3.7,2015,"62,000.00",Petrol,Manual,18.9,1197,82,5
247,Honda Brio E MT,2.5,2013,"30,000.00",Petrol,Manual,19.4,1198,86.8,5
248,Maruti Swift Dzire ZXi,2.75,2009,"59,000.00",Petrol,Manual,17.5,1298,85.8,5
249,Mercedes-Benz GLA AMG 45 4MATIC,19.5,2015,"20,000.00",Petrol,Automatic,12.33,1991,375.48,5
250,Honda City i VTEC V,5.5,2014,"86,113.00",Petrol,Manual,17.4,1497,117.3,5
251,Toyota Corolla Altis Diesel D4DG,13.25,2016,"45,000.00",Diesel,Manual,21.43,1364,87.2,5
252,Maruti Swift Dzire VDI,7.5,2018,"10,000.00",Diesel,Manual,28.4,1248,74.02,5
253,Nissan Micra XV,2.9,2011,"70,000.00",Petrol,Manual,18.06,1198,75,5
254,Maruti Wagon R VXI,2.72,2015,"92,537.00",Petrol,Manual,20.51,998,67.04,5
255,Maruti Ciaz 1.3 Alpha,9.51,2019,"27,645.00",Diesel,Manual,28.09,1248,88.5,5
256,Maruti Alto K10 2010-2014 VXI,2.8,2013,"46,242.00",Petrol,Manual,20.92,998,67.1,5
